"","ID","GEOCODIGO","GEOCODIGO1","MUNICIPIO","UF_COD","UF","REGIAO","MESO_COD","MESOREGIAO","MICRO_COD","MICROREGIA","AREA_KM2","SEMIARIDO","POPULACAO_TOTAL","POPULACAO_URBANA","populacao_abastecida","rede_agua","Vol_agua_ano","agua_trat_ETA","vol_agua_cons","vol_agua_faturado","vol_agua_expo","vol_agua_impo","vol_agua_trat_expo","pop_urb_abast"
"1",1,2200053,220005,"Acauã",22,"PI","Nordeste",2204,"Sudeste Piauiense",22015,"Alto Médio Canindé",1279.6,"Sim",6933,926,1563,4.07,78.59,78.59,45.91,63.85,0,0,0,903
"2",4,2200251,220025,"Alagoinha do Piauí",22,"PI","Nordeste",2204,"Sudeste Piauiense",22014,"Pio IX",533,"Sim",7501,2727,3316,5.07,198.73,0,105.86,142.57,0,0,0,2659
"3",5,2200277,220027,"Alegrete do Piauí",22,"PI","Nordeste",2204,"Sudeste Piauiense",22014,"Pio IX",282.7,"Sim",4832,2660,4832,45,56.5,0,56.5,0,56.5,0,0,2660
"4",8,2200459,220045,"Alvorada do Gurguéia",22,"PI","Nordeste",2203,"Sudoeste Piauiense",22010,"Alto Médio Gurguéia",2132,"Sim",5278,1932,3954,32.3,450,19,432,380,0,0,0,1922
"5",11,2200707,220070,"Anísio de Abreu",22,"PI","Nordeste",2203,"Sudoeste Piauiense",22011,"São Raimundo Nonato",337.9,"Sim",9597,4750,6086,14.82,346.51,0,196.67,250.41,0,0,0,4631
"6",13,2200905,220090,"Aroazes",22,"PI","Nordeste",2202,"Centro-Norte Piauiense",22006,"Valença do Piauí",821.7,"Sim",5763,3421,4192,22.17,282.41,0,149.99,179.95,0,0,0,3335
"7",14,2200954,220095,"Aroeiras do Itaim",22,"PI","Nordeste",2204,"Sudeste Piauiense",22013,"Picos",257.1,"Sim",2460,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",16,2201051,220105,"Assunção do Piauí",22,"PI","Nordeste",2202,"Centro-Norte Piauiense",22004,"Campo Maior",1690.7,"Sim",7686,3460,3378,18,398.7,0,398.7,398.72,0,0,0,3378
"9",17,2201101,220110,"Avelino Lopes",22,"PI","Nordeste",2203,"Sudoeste Piauiense",22012,"Chapadas do Extremo Sul Piauiense",1305.5,"Sim",11433,6936,7873,17.93,578.37,578.37,286.85,322.07,0,0,0,6763
"10",24,2201556,220155,"Bela Vista do Piauí",22,"PI","Nordeste",2204,"Sudeste Piauiense",22015,"Alto Médio Canindé",499.4,"Sim",3919,1289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",25,2201572,220157,"Belém do Piauí",22,"PI","Nordeste",2204,"Sudeste Piauiense",22015,"Alto Médio Canindé",243.3,"Sim",3464,1691,2148,14.49,111.58,111.58,64.91,93.28,0,0,0,1649
"12",27,2201705,220170,"Bertolínia",22,"PI","Nordeste",2203,"Sudoeste Piauiense",22008,"Bertolínia",1225.3,"Sim",5402,3955,4804,24.76,361.5,0,201.01,230.05,0,0,0,3856
"13",28,2201739,220173,"Betânia do Piauí",22,"PI","Nordeste",2204,"Sudeste Piauiense",22015,"Alto Médio Canindé",564.7,"Sim",6097,1701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",30,2201804,220180,"Bocaina",22,"PI","Nordeste",2204,"Sudeste Piauiense",22013,"Picos",268.6,"Sim",4436,1773,2355,9.04,169.43,0,90.94,111.14,0,0,0,1729
"15",31,2201903,220190,"Bom Jesus",22,"PI","Nordeste",2203,"Sudoeste Piauiense",22010,"Alto Médio Gurguéia",5469.2,"Sim",24327,18945,23447,26.48,1993.79,0,1088.37,1209.68,0,0,0,18471
"16",33,2201929,220192,"Bonfim do Piauí",22,"PI","Nordeste",2203,"Sudoeste Piauiense",22011,"São Raimundo Nonato",289.2,"Sim",5549,1682,1436,6,89.43,89.43,46.94,60.41,0,0,0,1436
"17",36,2201988,220198,"Brejo do Piauí",22,"PI","Nordeste",2203,"Sudoeste Piauiense",22011,"São Raimundo Nonato",2183.3,"Sim",3871,1434,2033,6.71,136.04,0,72.45,91.45,0,0,0,1398
"18",38,2202026,220202,"Buriti dos Montes",22,"PI","Nordeste",2202,"Centro-Norte Piauiense",22004,"Campo Maior",2652.1,"Sim",8188,2486,5598,58.43,1314,0,1128,0,0,0,0,2486
"19",40,2202075,220207,"Cajazeiras do Piauí",22,"PI","Nordeste",2204,"Sudeste Piauiense",22013,"Picos",514.4,"Sim",3471,1155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",42,2202091,220209,"Caldeirão Grande do Piauí",22,"PI","Nordeste",2204,"Sudeste Piauiense",22015,"Alto Médio Canindé",494.9,"Sim",5674,1663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",43,2202109,220210,"Campinas do Piauí",22,"PI","Nordeste",2204,"Sudeste Piauiense",22015,"Alto Médio Canindé",831.2,"Sim",5507,1840,2259,8.17,165.12,0,85.33,106.62,0,0,0,1794
"22",44,2202117,220211,"Campo Alegre do Fidalgo",22,"PI","Nordeste",2204,"Sudeste Piauiense",22015,"Alto Médio Canindé",657.8,"Sim",4911,1281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",45,2202133,220213,"Campo Grande do Piauí",22,"PI","Nordeste",2204,"Sudeste Piauiense",22015,"Alto Médio Canindé",311.8,"Sim",5801,1628,2810,20.26,169.26,0,91.79,101.34,0,0,0,1587
"24",48,2202251,220225,"Canavieira",22,"PI","Nordeste",2203,"Sudoeste Piauiense",22009,"Floriano",2162.9,"Sim",3904,1730,2064,8.31,137.1,0,85.47,93.23,0,0,0,1687
"25",49,2202307,220230,"Canto do Buriti",22,"PI","Nordeste",2203,"Sudoeste Piauiense",22011,"São Raimundo Nonato",4325.6,"Sim",20700,11508,13866,36.15,1147.07,0,600.45,709.83,0,0,0,11220
"26",51,2202455,220245,"Capitão Gervásio Oliveira",22,"PI","Nordeste",2204,"Sudeste Piauiense",22015,"Alto Médio Canindé",1134.1,"Sim",4008,1201,1201,15,135.9,0,120.9,0,0,0,0,1201
"27",52,2202505,220250,"Caracol",22,"PI","Nordeste",2203,"Sudoeste Piauiense",22011,"São Raimundo Nonato",1611,"Sim",10641,4197,3109,15.41,193.18,0,99.16,121.09,0,0,0,3109
"28",54,2202554,220255,"Caridade do Piauí",22,"PI","Nordeste",2204,"Sudeste Piauiense",22015,"Alto Médio Canindé",501.3,"Sim",4994,1634,2127,7.85,105.55,0,60.52,78.28,0,0,0,1593
"29",55,2202604,220260,"Castelo do Piauí",22,"PI","Nordeste",2202,"Centro-Norte Piauiense",22004,"Campo Maior",2035.2,"Sim",18160,11369,13278,29.17,902.82,0,463.4,573.94,0,0,0,11085
"30",61,2202752,220275,"Colônia do Gurguéia",22,"PI","Nordeste",2203,"Sudoeste Piauiense",22008,"Bertolínia",430.6,"Sim",6314,5073,2357,18.26,171.71,0,90.45,103.54,0,0,0,2357
"31",62,2202778,220277,"Colônia do Piauí",22,"PI","Nordeste",2204,"Sudeste Piauiense",22013,"Picos",947.9,"Sim",7527,2677,3348,14.04,235.89,0,125.52,151.12,0,0,0,2610
"32",63,2202802,220280,"Conceição do Canindé",22,"PI","Nordeste",2204,"Sudeste Piauiense",22015,"Alto Médio Canindé",831.4,"Sim",4536,2395,3245,15.57,248.26,0,127.7,148.49,0,0,0,2335
"33",64,2202851,220285,"Coronel José Dias",22,"PI","Nordeste",2203,"Sudoeste Piauiense",22011,"São Raimundo Nonato",1914.8,"Sim",4602,1511,2460,6,163.01,163.01,84.98,110.25,0,0,0,1473
"34",67,2203107,220310,"Cristino Castro",22,"PI","Nordeste",2203,"Sudoeste Piauiense",22010,"Alto Médio Gurguéia",1846.3,"Sim",10214,7432,7883,16.41,523.94,0,285.86,330.3,0,0,0,7246
